"","TipLabels_Data","Date"
"A/Siena/3/1991--EPI_ISL_33841--A_/_H3N2--12/19/1991","A/Siena/3/1991--EPI_ISL_33841--A_/_H3N2--12/19/1991","12/19/1991"
"A/England/260/1991--EPI_ISL_114502--A_/_H3N2--09/15/1991","A/England/260/1991--EPI_ISL_114502--A_/_H3N2--09/15/1991","09/15/1991"
"A/New_York/504/1998--EPI_ISL_5090--A_/_H3N2--01/01/1998","A/New_York/504/1998--EPI_ISL_5090--A_/_H3N2--01/01/1998","01/01/1998"
"A/New_York/511/1997--EPI_ISL_8979--A_/_H3N2--12/17/1997","A/New_York/511/1997--EPI_ISL_8979--A_/_H3N2--12/17/1997","12/17/1997"
"A/New_York/510/1998--EPI_ISL_8978--A_/_H3N2--02/20/1998","A/New_York/510/1998--EPI_ISL_8978--A_/_H3N2--02/20/1998","02/20/1998"
"A/New_York/503/1997--EPI_ISL_8975--A_/_H3N2--11/29/1997","A/New_York/503/1997--EPI_ISL_8975--A_/_H3N2--11/29/1997","11/29/1997"
"A/New_York/525/1998--EPI_ISL_9012--A_/_H3N2--03/03/1998","A/New_York/525/1998--EPI_ISL_9012--A_/_H3N2--03/03/1998","03/03/1998"
"A/New_York/508/1997--EPI_ISL_8977--A_/_H3N2--12/22/1997","A/New_York/508/1997--EPI_ISL_8977--A_/_H3N2--12/22/1997","12/22/1997"
"A/New_York/516/1997--EPI_ISL_9004--A_/_H3N2--12/26/1997","A/New_York/516/1997--EPI_ISL_9004--A_/_H3N2--12/26/1997","12/26/1997"
"A/New_York/531/1998--EPI_ISL_9014--A_/_H3N2--02/22/1998","A/New_York/531/1998--EPI_ISL_9014--A_/_H3N2--02/22/1998","02/22/1998"
"A/New_York/549/1998--EPI_ISL_5096--A_/_H3N2--01/19/1998","A/New_York/549/1998--EPI_ISL_5096--A_/_H3N2--01/19/1998","01/19/1998"
"A/New_York/507/1997--EPI_ISL_5091--A_/_H3N2--12/17/1997","A/New_York/507/1997--EPI_ISL_5091--A_/_H3N2--12/17/1997","12/17/1997"
"A/New_York/519/1998--EPI_ISL_9006--A_/_H3N2--02/13/1998","A/New_York/519/1998--EPI_ISL_9006--A_/_H3N2--02/13/1998","02/13/1998"
"A/New_York/543/1998--EPI_ISL_9021--A_/_H3N2--02/17/1998","A/New_York/543/1998--EPI_ISL_9021--A_/_H3N2--02/17/1998","02/17/1998"
"A/New_York/534/1998--EPI_ISL_9017--A_/_H3N2--01/29/1998","A/New_York/534/1998--EPI_ISL_9017--A_/_H3N2--01/29/1998","01/29/1998"
"A/New_York/502/1998--EPI_ISL_9217--A_/_H3N2--03/20/1998","A/New_York/502/1998--EPI_ISL_9217--A_/_H3N2--03/20/1998","03/20/1998"
"A/New_York/513/1997--EPI_ISL_8980--A_/_H3N2--12/24/1997","A/New_York/513/1997--EPI_ISL_8980--A_/_H3N2--12/24/1997","12/24/1997"
"A/New_York/530/1998--EPI_ISL_5094--A_/_H3N2--01/19/1998","A/New_York/530/1998--EPI_ISL_5094--A_/_H3N2--01/19/1998","01/19/1998"
"A/New_York/512/1998--EPI_ISL_9003--A_/_H3N2--01/29/1998","A/New_York/512/1998--EPI_ISL_9003--A_/_H3N2--01/29/1998","01/29/1998"
"A/New_York/515/1997--EPI_ISL_8981--A_/_H3N2--12/21/1997","A/New_York/515/1997--EPI_ISL_8981--A_/_H3N2--12/21/1997","12/21/1997"
"A/New_York/547/1997--EPI_ISL_9024--A_/_H3N2--12/28/1997","A/New_York/547/1997--EPI_ISL_9024--A_/_H3N2--12/28/1997","12/28/1997"
"A/New_York/524/1997--EPI_ISL_9011--A_/_H3N2--12/31/1997","A/New_York/524/1997--EPI_ISL_9011--A_/_H3N2--12/31/1997","12/31/1997"
"A/New_York/542/1998--EPI_ISL_9020--A_/_H3N2--02/19/1998","A/New_York/542/1998--EPI_ISL_9020--A_/_H3N2--02/19/1998","02/19/1998"
"A/New_York/514/1998--EPI_ISL_5092--A_/_H3N2--01/13/1998","A/New_York/514/1998--EPI_ISL_5092--A_/_H3N2--01/13/1998","01/13/1998"
"A/New_York/509/1997--EPI_ISL_9002--A_/_H3N2--12/23/1997","A/New_York/509/1997--EPI_ISL_9002--A_/_H3N2--12/23/1997","12/23/1997"
"A/New_York/544/1998--EPI_ISL_9260--A_/_H3N2--02/02/1998","A/New_York/544/1998--EPI_ISL_9260--A_/_H3N2--02/02/1998","02/02/1998"
"A/New_York/526/1997--EPI_ISL_9191--A_/_H3N2--12/29/1997","A/New_York/526/1997--EPI_ISL_9191--A_/_H3N2--12/29/1997","12/29/1997"
"A/New_York/523/1998--EPI_ISL_9010--A_/_H3N2--02/02/1998","A/New_York/523/1998--EPI_ISL_9010--A_/_H3N2--02/02/1998","02/02/1998"
"A/Hong_Kong/CUHK12626/1997--EPI_ISL_14140--A_/_H3N2--06/03/1997","A/Hong_Kong/CUHK12626/1997--EPI_ISL_14140--A_/_H3N2--06/03/1997","06/03/1997"
"A/Hong_Kong/CUHK20992/1997--EPI_ISL_14150--A_/_H3N2--08/13/1997","A/Hong_Kong/CUHK20992/1997--EPI_ISL_14150--A_/_H3N2--08/13/1997","08/13/1997"
"A/Hong_Kong/CUHK22048/1997--EPI_ISL_14152--A_/_H3N2--08/19/1997","A/Hong_Kong/CUHK22048/1997--EPI_ISL_14152--A_/_H3N2--08/19/1997","08/19/1997"
"A/Hong_Kong/CUHK4529/1997--EPI_ISL_14163--A_/_H3N2--04/02/1997","A/Hong_Kong/CUHK4529/1997--EPI_ISL_14163--A_/_H3N2--04/02/1997","04/02/1997"
"A/New_York/518/1998--EPI_ISL_9005--A_/_H3N2--01/05/1998","A/New_York/518/1998--EPI_ISL_9005--A_/_H3N2--01/05/1998","01/05/1998"
"A/New_York/521/1998--EPI_ISL_9008--A_/_H3N2--01/19/1998","A/New_York/521/1998--EPI_ISL_9008--A_/_H3N2--01/19/1998","01/19/1998"
"A/New_York/541/1998--EPI_ISL_9019--A_/_H3N2--03/12/1998","A/New_York/541/1998--EPI_ISL_9019--A_/_H3N2--03/12/1998","03/12/1998"
"A/Netherlands/5/1998--EPI_ISL_115772--A_/_H3N2--01/14/1998","A/Netherlands/5/1998--EPI_ISL_115772--A_/_H3N2--01/14/1998","01/14/1998"
"A/Western_Australia/13/2001--EPI_ISL_6173--A_/_H3N2--07/11/2001","A/Western_Australia/13/2001--EPI_ISL_6173--A_/_H3N2--07/11/2001","07/11/2001"
"A/New_York/263/1999--EPI_ISL_6713--A_/_H3N2--02/10/1999","A/New_York/263/1999--EPI_ISL_6713--A_/_H3N2--02/10/1999","02/10/1999"
"A/New_York/316/1999--EPI_ISL_8206--A_/_H3N2--01/26/1999","A/New_York/316/1999--EPI_ISL_8206--A_/_H3N2--01/26/1999","01/26/1999"
"A/Malaysia/10877/1996--EPI_ISL_120342--A_/_H3N2--09/25/1996","A/Malaysia/10877/1996--EPI_ISL_120342--A_/_H3N2--09/25/1996","09/25/1996"
"A/New_York/250/1998--EPI_ISL_6723--A_/_H3N2--12/12/1998","A/New_York/250/1998--EPI_ISL_6723--A_/_H3N2--12/12/1998","12/12/1998"
"A/New_York/324/1999--EPI_ISL_8184--A_/_H3N2--01/26/1999","A/New_York/324/1999--EPI_ISL_8184--A_/_H3N2--01/26/1999","01/26/1999"
"A/New_York/287/1998--EPI_ISL_6745--A_/_H3N2--12/29/1998","A/New_York/287/1998--EPI_ISL_6745--A_/_H3N2--12/29/1998","12/29/1998"
"A/New_York/428/1999--EPI_ISL_8707--A_/_H3N2--09/28/1999","A/New_York/428/1999--EPI_ISL_8707--A_/_H3N2--09/28/1999","09/28/1999"
"A/New_York/315/1999--EPI_ISL_8166--A_/_H3N2--01/06/1999","A/New_York/315/1999--EPI_ISL_8166--A_/_H3N2--01/06/1999","01/06/1999"
"A/New_York/265/1999--EPI_ISL_6738--A_/_H3N2--01/29/1999","A/New_York/265/1999--EPI_ISL_6738--A_/_H3N2--01/29/1999","01/29/1999"
"A/New_York/278/1999--EPI_ISL_8183--A_/_H3N2--02/04/1999","A/New_York/278/1999--EPI_ISL_8183--A_/_H3N2--02/04/1999","02/04/1999"
"A/New_York/327/1999--EPI_ISL_8172--A_/_H3N2--03/24/1999","A/New_York/327/1999--EPI_ISL_8172--A_/_H3N2--03/24/1999","03/24/1999"
"A/Kunming/1-Va10/2005--EPI_ISL_105790--A_/_H3N2--11/30/2005","A/Kunming/1-Va10/2005--EPI_ISL_105790--A_/_H3N2--11/30/2005","11/30/2005"
"A/Panama/2007/1999--EPI_ISL_174195--A_/_H3N2--07/12/1999","A/Panama/2007/1999--EPI_ISL_174195--A_/_H3N2--07/12/1999","07/12/1999"
"A/New_York/335/1999--EPI_ISL_8175--A_/_H3N2--01/20/1999","A/New_York/335/1999--EPI_ISL_8175--A_/_H3N2--01/20/1999","01/20/1999"
"A/New_York/456/1999--EPI_ISL_8683--A_/_H3N2--01/15/1999","A/New_York/456/1999--EPI_ISL_8683--A_/_H3N2--01/15/1999","01/15/1999"
"A/New_York/458/1999--EPI_ISL_8685--A_/_H3N2--01/22/1999","A/New_York/458/1999--EPI_ISL_8685--A_/_H3N2--01/22/1999","01/22/1999"
"A/New_York/138/1999--EPI_ISL_6663--A_/_H3N2--10/03/1999","A/New_York/138/1999--EPI_ISL_6663--A_/_H3N2--10/03/1999","10/03/1999"
"A/Georgia/NHRC0001/1999--EPI_ISL_90467--A_/_H3N2--10/12/1999","A/Georgia/NHRC0001/1999--EPI_ISL_90467--A_/_H3N2--10/12/1999","10/12/1999"
"A/New_York/137/1999--EPI_ISL_6678--A_/_H3N2--10/04/1999","A/New_York/137/1999--EPI_ISL_6678--A_/_H3N2--10/04/1999","10/04/1999"
"A/New_York/423/1999--EPI_ISL_8706--A_/_H3N2--12/16/1999","A/New_York/423/1999--EPI_ISL_8706--A_/_H3N2--12/16/1999","12/16/1999"
"A/New_York/435/2000--EPI_ISL_9026--A_/_H3N2--01/09/2000","A/New_York/435/2000--EPI_ISL_9026--A_/_H3N2--01/09/2000","01/09/2000"
"A/New_York/145/1999--EPI_ISL_6710--A_/_H3N2--11/09/1999","A/New_York/145/1999--EPI_ISL_6710--A_/_H3N2--11/09/1999","11/09/1999"
"A/New_York/332/1999--EPI_ISL_8186--A_/_H3N2--02/17/1999","A/New_York/332/1999--EPI_ISL_8186--A_/_H3N2--02/17/1999","02/17/1999"
"A/Netherlands/301/1999--EPI_ISL_115773--A_/_H3N2--10/01/1999","A/Netherlands/301/1999--EPI_ISL_115773--A_/_H3N2--10/01/1999","10/01/1999"
"A/Hong_Kong/CUHK18886/1998--EPI_ISL_14193--A_/_H3N2--10/03/1998","A/Hong_Kong/CUHK18886/1998--EPI_ISL_14193--A_/_H3N2--10/03/1998","10/03/1998"
"A/Hong_Kong/CUHK17697/1998--EPI_ISL_14182--A_/_H3N2--08/16/1998","A/Hong_Kong/CUHK17697/1998--EPI_ISL_14182--A_/_H3N2--08/16/1998","08/16/1998"
"A/Hong_Kong/357/1996--EPI_ISL_115563--A_/_H3N2--07/19/1996","A/Hong_Kong/357/1996--EPI_ISL_115563--A_/_H3N2--07/19/1996","07/19/1996"
"A/New_York/570/1996--EPI_ISL_5154--A_/_H3N2--12/12/1996","A/New_York/570/1996--EPI_ISL_5154--A_/_H3N2--12/12/1996","12/12/1996"
"A/New_York/595/1996--EPI_ISL_5223--A_/_H3N2--12/18/1996","A/New_York/595/1996--EPI_ISL_5223--A_/_H3N2--12/18/1996","12/18/1996"
"A/New_York/601/1996--EPI_ISL_6153--A_/_H3N2--12/09/1996","A/New_York/601/1996--EPI_ISL_6153--A_/_H3N2--12/09/1996","12/09/1996"
"A/New_York/568/1996--EPI_ISL_5175--A_/_H3N2--12/11/1996","A/New_York/568/1996--EPI_ISL_5175--A_/_H3N2--12/11/1996","12/11/1996"
"A/New_York/559/1996--EPI_ISL_5369--A_/_H3N2--11/25/1996","A/New_York/559/1996--EPI_ISL_5369--A_/_H3N2--11/25/1996","11/25/1996"
"A/New_York/561/1996--EPI_ISL_5291--A_/_H3N2--12/22/1996","A/New_York/561/1996--EPI_ISL_5291--A_/_H3N2--12/22/1996","12/22/1996"
"A/New_York/586/1996--EPI_ISL_5181--A_/_H3N2--12/21/1996","A/New_York/586/1996--EPI_ISL_5181--A_/_H3N2--12/21/1996","12/21/1996"
"A/New_York/591/1996--EPI_ISL_5220--A_/_H3N2--12/20/1996","A/New_York/591/1996--EPI_ISL_5220--A_/_H3N2--12/20/1996","12/20/1996"
"A/New_York/554/1996--EPI_ISL_5564--A_/_H3N2--11/12/1996","A/New_York/554/1996--EPI_ISL_5564--A_/_H3N2--11/12/1996","11/12/1996"
"A/New_York/603/1996--EPI_ISL_5292--A_/_H3N2--12/09/1996","A/New_York/603/1996--EPI_ISL_5292--A_/_H3N2--12/09/1996","12/09/1996"
"A/New_York/557/1996--EPI_ISL_5368--A_/_H3N2--11/21/1996","A/New_York/557/1996--EPI_ISL_5368--A_/_H3N2--11/21/1996","11/21/1996"
"A/New_York/588/1996--EPI_ISL_5183--A_/_H3N2--12/28/1996","A/New_York/588/1996--EPI_ISL_5183--A_/_H3N2--12/28/1996","12/28/1996"
"A/New_York/598/1996--EPI_ISL_5484--A_/_H3N2--12/17/1996","A/New_York/598/1996--EPI_ISL_5484--A_/_H3N2--12/17/1996","12/17/1996"
"A/New_York/597/1997--EPI_ISL_5186--A_/_H3N2--01/06/1997","A/New_York/597/1997--EPI_ISL_5186--A_/_H3N2--01/06/1997","01/06/1997"
"A/New_York/602/1996--EPI_ISL_5354--A_/_H3N2--12/23/1996","A/New_York/602/1996--EPI_ISL_5354--A_/_H3N2--12/23/1996","12/23/1996"
"A/New_York/567/1996--EPI_ISL_5218--A_/_H3N2--12/05/1996","A/New_York/567/1996--EPI_ISL_5218--A_/_H3N2--12/05/1996","12/05/1996"
"A/New_York/578/1996--EPI_ISL_5290--A_/_H3N2--12/27/1996","A/New_York/578/1996--EPI_ISL_5290--A_/_H3N2--12/27/1996","12/27/1996"
"A/New_York/577/1996--EPI_ISL_5389--A_/_H3N2--12/24/1996","A/New_York/577/1996--EPI_ISL_5389--A_/_H3N2--12/24/1996","12/24/1996"
"A/New_York/589/1996--EPI_ISL_5184--A_/_H3N2--12/18/1996","A/New_York/589/1996--EPI_ISL_5184--A_/_H3N2--12/18/1996","12/18/1996"
"A/New_York/573/1996--EPI_ISL_5155--A_/_H3N2--12/23/1996","A/New_York/573/1996--EPI_ISL_5155--A_/_H3N2--12/23/1996","12/23/1996"
"A/New_York/555/1996--EPI_ISL_5314--A_/_H3N2--12/23/1996","A/New_York/555/1996--EPI_ISL_5314--A_/_H3N2--12/23/1996","12/23/1996"
"A/New_York/556/1996--EPI_ISL_5483--A_/_H3N2--11/19/1996","A/New_York/556/1996--EPI_ISL_5483--A_/_H3N2--11/19/1996","11/19/1996"
"A/Malaysia/10360/1996--EPI_ISL_120338--A_/_H3N2--07/02/1996","A/Malaysia/10360/1996--EPI_ISL_120338--A_/_H3N2--07/02/1996","07/02/1996"
"A/Malaysia/10370/1996--EPI_ISL_120339--A_/_H3N2--07/03/1996","A/Malaysia/10370/1996--EPI_ISL_120339--A_/_H3N2--07/03/1996","07/03/1996"
"A/New_York/61A/2003--EPI_ISL_4992--A_/_H3N2--12/20/2003","A/New_York/61A/2003--EPI_ISL_4992--A_/_H3N2--12/20/2003","12/20/2003"
"A/New_York/23/2003--EPI_ISL_5016--A_/_H3N2--12/16/2003","A/New_York/23/2003--EPI_ISL_5016--A_/_H3N2--12/16/2003","12/16/2003"
"A/New_York/20/2003--EPI_ISL_6714--A_/_H3N2--12/01/2003","A/New_York/20/2003--EPI_ISL_6714--A_/_H3N2--12/01/2003","12/01/2003"
"A/New_York/70/2004--EPI_ISL_6691--A_/_H3N2--01/06/2004","A/New_York/70/2004--EPI_ISL_6691--A_/_H3N2--01/06/2004","01/06/2004"
"A/New_York/5/2004--EPI_ISL_6651--A_/_H3N2--01/06/2004","A/New_York/5/2004--EPI_ISL_6651--A_/_H3N2--01/06/2004","01/06/2004"
"A/New_York/45/2003--EPI_ISL_5000--A_/_H3N2--12/09/2003","A/New_York/45/2003--EPI_ISL_5000--A_/_H3N2--12/09/2003","12/09/2003"
"A/New_York/473/2003--EPI_ISL_5083--A_/_H3N2--11/24/2003","A/New_York/473/2003--EPI_ISL_5083--A_/_H3N2--11/24/2003","11/24/2003"
"A/New_York/499/2004--EPI_ISL_5131--A_/_H3N2--01/15/2004","A/New_York/499/2004--EPI_ISL_5131--A_/_H3N2--01/15/2004","01/15/2004"
"A/New_York/479/2003--EPI_ISL_5089--A_/_H3N2--11/12/2003","A/New_York/479/2003--EPI_ISL_5089--A_/_H3N2--11/12/2003","11/12/2003"
"A/New_York/476/2003--EPI_ISL_5086--A_/_H3N2--12/15/2003","A/New_York/476/2003--EPI_ISL_5086--A_/_H3N2--12/15/2003","12/15/2003"
"A/New_York/10/2004--EPI_ISL_6636--A_/_H3N2--01/30/2004","A/New_York/10/2004--EPI_ISL_6636--A_/_H3N2--01/30/2004","01/30/2004"
"A/New_York/6/2004--EPI_ISL_6667--A_/_H3N2--01/06/2004","A/New_York/6/2004--EPI_ISL_6667--A_/_H3N2--01/06/2004","01/06/2004"
"A/New_York/17/2003--EPI_ISL_6670--A_/_H3N2--11/16/2003","A/New_York/17/2003--EPI_ISL_6670--A_/_H3N2--11/16/2003","11/16/2003"
"A/New_York/62A/2003--EPI_ISL_6654--A_/_H3N2--12/19/2003","A/New_York/62A/2003--EPI_ISL_6654--A_/_H3N2--12/19/2003","12/19/2003"
"A/New_York/480/2004--EPI_ISL_5130--A_/_H3N2--01/12/2004","A/New_York/480/2004--EPI_ISL_5130--A_/_H3N2--01/12/2004","01/12/2004"
"A/New_York/475/2003--EPI_ISL_5085--A_/_H3N2--12/08/2003","A/New_York/475/2003--EPI_ISL_5085--A_/_H3N2--12/08/2003","12/08/2003"
"A/Western_Australia/45/2003--EPI_ISL_6193--A_/_H3N2--09/09/2003","A/Western_Australia/45/2003--EPI_ISL_6193--A_/_H3N2--09/09/2003","09/09/2003"
"A/Western_Australia/38/2003--EPI_ISL_6186--A_/_H3N2--09/08/2003","A/Western_Australia/38/2003--EPI_ISL_6186--A_/_H3N2--09/08/2003","09/08/2003"
"A/Western_Australia/50/2003--EPI_ISL_6197--A_/_H3N2--09/17/2003","A/Western_Australia/50/2003--EPI_ISL_6197--A_/_H3N2--09/17/2003","09/17/2003"
"A/Western_Australia/42/2003--EPI_ISL_6190--A_/_H3N2--09/17/2003","A/Western_Australia/42/2003--EPI_ISL_6190--A_/_H3N2--09/17/2003","09/17/2003"
"A/Western_Australia/39/2003--EPI_ISL_6187--A_/_H3N2--09/24/2003","A/Western_Australia/39/2003--EPI_ISL_6187--A_/_H3N2--09/24/2003","09/24/2003"
"A/Western_Australia/47/2003--EPI_ISL_6195--A_/_H3N2--10/03/2003","A/Western_Australia/47/2003--EPI_ISL_6195--A_/_H3N2--10/03/2003","10/03/2003"
"A/Western_Australia/37/2003--EPI_ISL_6185--A_/_H3N2--09/09/2003","A/Western_Australia/37/2003--EPI_ISL_6185--A_/_H3N2--09/09/2003","09/09/2003"
"A/Western_Australia/41/2003--EPI_ISL_6189--A_/_H3N2--09/23/2003","A/Western_Australia/41/2003--EPI_ISL_6189--A_/_H3N2--09/23/2003","09/23/2003"
"A/Western_Australia/48/2003--EPI_ISL_6196--A_/_H3N2--10/06/2003","A/Western_Australia/48/2003--EPI_ISL_6196--A_/_H3N2--10/06/2003","10/06/2003"
"A/Malaysia/25849/2003--EPI_ISL_120365--A_/_H3N2--09/22/2003","A/Malaysia/25849/2003--EPI_ISL_120365--A_/_H3N2--09/22/2003","09/22/2003"
"A/South_Carolina/NHRC0001/2003--EPI_ISL_90472--A_/_H3N2--10/21/2003","A/South_Carolina/NHRC0001/2003--EPI_ISL_90472--A_/_H3N2--10/21/2003","10/21/2003"
"A/New_York/51/2003--EPI_ISL_6672--A_/_H3N2--12/10/2003","A/New_York/51/2003--EPI_ISL_6672--A_/_H3N2--12/10/2003","12/10/2003"
"A/Illinois/NHRC0001/2004--EPI_ISL_91107--A_/_H3N2--01/20/2004","A/Illinois/NHRC0001/2004--EPI_ISL_91107--A_/_H3N2--01/20/2004","01/20/2004"
"A/Missouri/NHRC0001/2003--EPI_ISL_90473--A_/_H3N2--11/06/2003","A/Missouri/NHRC0001/2003--EPI_ISL_90473--A_/_H3N2--11/06/2003","11/06/2003"
"A/New_York/41/2003--EPI_ISL_5011--A_/_H3N2--12/08/2003","A/New_York/41/2003--EPI_ISL_5011--A_/_H3N2--12/08/2003","12/08/2003"
"A/New_York/56/2003--EPI_ISL_6688--A_/_H3N2--12/16/2003","A/New_York/56/2003--EPI_ISL_6688--A_/_H3N2--12/16/2003","12/16/2003"
"A/New_York/50/2003--EPI_ISL_5003--A_/_H3N2--12/08/2003","A/New_York/50/2003--EPI_ISL_5003--A_/_H3N2--12/08/2003","12/08/2003"
